-83,-33,100,100,-26,70,62,-91,63,-17,14,52,74,77,43,-13,-9,85,9,55,-5,-53,7,58,147,-11,100,-24,-38,57,45,-3,142,66,53,27,-50,8,64,-9,67,-15,-54,-16,-7,62,36,-60,-2,78,-98,-71,77,81,-73,-121,72,-48,93,-44,106,77,63,-7
13,55,-115,47,62,-31,-12,-21,-85,-10,112,10,-126,-1,0,-22,-2,73,-41,-56,-18,14,0,-104,25,33,18,-13,50,91,-21,0,91,6,-78,21,-150,16,35,-13,21,75,-7,10,9,99,-21,-22,-35,-55,123,13,-165,36,-71,-88,-27,-4,-1,-100,-61,144,27,-70
-95,-13,160,-40,37,-100,-59,30,-113,29,-16,60,4,-17,-44,-11,157,-28,-44,98,59,-4,108,18,-56,-46,58,-14,143,96,-8,-10,-54,-78,-10,80,-28,-14,35,0,-32,-14,-41,2,75,-13,-18,-109,-100,-27,-16,94,-85,109,-50,6,110,-11,-17,122,-85,-76,-47,134
4,-84,79,26,43,55,60,46,-4,163,-32,70,-46,9,-41,-147,53,-3,-5,15,-9,99,-21,-44,51,73,19,35,-38,-14,-130,-7,-44,-58,26,-5,2,22,-98,8,77,38,-66,7,8,66,-1,-53,-76,5,-45,65,-1,-64,-48,-31,25,-11,18,-6,11,43,61,16
-6,63,45,-25,11,-26,68,5,-16,-113,-4,-12,37,64,-12,-85,-24,-10,-27,110,0,9,73,19,-9,-116,51,40,58,117,-72,-18,-18,-3,-14,16,113,-153,-15,24,97,57,0,9,24,148,61,15,8,37,-74,5,18,-125,-48,21,34,58,-53,39,52,-55,-124,44
-85,232,-21,24,26,-55,-52,127,65,10,47,21,-79,7,86,-44,7,81,36,72,-14,-50,59,-38,-22,-24,31,21,88,35,-43,16,-118,88,-12,72,-118,75,0,66,64,32,-82,-11,-114,-1,17,53,-10,33,3,-21,3,54,18,52,87,-72,46,30,-8,125,-96,78
-96,32,84,77,108,7,-16,-7,-59,32,74,46,-47,56,8,-56,47,-17,-88,44,67,56,131,-14,78,-121,133,-11,21,-9,-73,-51,1,51,6,-115,-34,125,135,33,52,-56,34,-115,79,-24,-2,34,-87,-35,20,3,-63,-7,-52,-8,-30,89,-41,124,-11,1,-31,16
22,42,24,97,102,-107,43,45,17,-10,-13,-15,-19,54,36,46,67,-6,-21,-70,-52,-5,-3,23,53,53,20,5,-73,-66,-48,119,1,-14,-11,-16,-137,87,-17,14,18,32,123,70,70,18,34,14,43,-46,131,-41,55,-52,102,-5,87,47,69,65,-68,-2,28,32
21,83,138,-45,60,-54,22,-15,95,28,45,172,9,-114,81,-49,79,58,90,124,85,63,-27,9,168,15,115,-13,-22,-33,-3,-4,88,51,-54,-10,-120,25,90,17,-150,-97,-40,-1,-69,74,-23,-26,7,81,67,71,-21,-9,-5,16,-42,-28,191,10,-51,-110,-50,12
-6,22,90,-38,100,-55,15,42,48,45,-16,62,83,45,27,-19,39,-96,-81,103,68,57,72,-78,133,-39,16,-37,-111,10,100,-27,-26,94,-20,43,-60,27,0,-20,89,101,18,-7,29,-13,1,-16,-31,29,-50,-23,54,-55,-48,-158,-70,-26,-28,91,11,-47,16,111
